MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing,CUE
14.6,734,5.9,8.0,21.9,2,1496,360,Wheat_maize,SI,DT,CI,Yes,75
14.6,734,5.9,8.0,21.9,2,2993,360,Wheat_maize,SI,DT,CI,Yes,113
14.6,734,5.9,8.0,21.9,2,4489,360,Wheat_maize,SI,DT,CI,Yes,173
14.6,734,5.9,8.0,21.9,3,1496,360,Wheat_maize,SI,DT,CI,Yes,210
14.6,734,5.9,8.0,21.9,3,2993,360,Wheat_maize,SI,DT,CI,Yes,295
14.6,734,5.9,8.0,21.9,3,4489,360,Wheat_maize,SI,DT,CI,Yes,540
14.6,734,5.9,8.0,21.9,3,1496,360,Wheat_maize,SI,DT,CI,Yes,250
14.6,734,5.9,8.0,21.9,3,2993,360,Wheat_maize,SI,DT,CI,Yes,465
14.6,734,5.9,8.0,21.9,3,4489,360,Wheat_maize,SI,DT,CI,Yes,639
15.4,565,7.2,7.09,25.3,15,4884,345,Wheat_maize,SI,CT,CI,Yes,138
15.4,565,7.2,7.09,25.3,15,4884,345,Wheat_maize,SI,DT,CI,Yes,50
15.4,565,7.2,7.09,25.3,15,4884,345,Wheat_maize,SI,CT,CI,Yes,479
15.4,565,7.2,7.09,25.3,15,4884,345,Wheat_maize,SI,DT,CI,Yes,323
15.4,565,7.2,7.09,25.3,16,4884,345,Wheat_maize,SI,CT,CI,Yes,168
15.4,565,7.2,7.09,25.3,16,4884,345,Wheat_maize,SI,DT,CI,Yes,284
15.4,565,7.2,7.09,25.3,16,4884,345,Wheat_maize,SI,CT,CI,Yes,740
15.4,565,7.2,7.09,25.3,16,4884,345,Wheat_maize,SI,DT,CI,Yes,412
2.5,500,24.5,6.81,27.4,7,3075,150,Maize,SI,CT,NI,Yes,187
2.5,500,24.5,6.81,27.4,7,3075,150,Maize,SI,DT,NI,Yes,-17
