MAT,MAP,SOC,pH,Clay,Duration,C_input,N_input,Planting_system,Return,Tillage,Irrigation,Topdressing
13.4083337783813,496.899993896484,5.90399980545044,7.70699977874756,16.4699993133545,1,3062.54008333333,173.832,Wheat,SDB,CT,OI,Yes
13.9750003814697,517.0,6.1410003900528,7.29500007629395,13.7700004577637,1,3394.04929166667,173.832,Wheat,SDB,CT,OI,Yes
13.0833330154419,460.0,6.37799978256226,6.99200010299683,13.4099998474121,1,3145.97495,173.832,Wheat,SDB,CT,OI,Yes
13.4083337783813,496.899993896484,5.96200048923492,8.00599956512451,17.7600002288818,1,3205.37975,173.832,Wheat,SDB,CT,OI,Yes
11.6916666030884,517.599975585938,6.41600012779236,7.13000011444092,17.0,1,3165.15775,173.832,Wheat,SDB,CT,OI,Yes
14.4083337783813,591.300048828125,6.82900011539459,7.97000026702881,28.4300003051758,1,3118.90531481482,239.726314385073,Wheat,SDB,CT,OI,Yes
13.9416666030884,542.0,6.50799989700317,7.15999984741211,20.9599990844727,1,3282.58911363636,239.726314385073,Wheat,SDB,CT,OI,Yes
13.9499998092651,506.200012207031,4.32500004768372,8.14999961853027,14.25,1,3217.745501125,163.68873,Wheat,SDB,CT,OI,Yes
14.8000001907349,523.200012207031,6.12299978733063,7.45499992370605,15.7272729873657,1,3947.28631847125,246.61764,Wheat,SDB,CT,OI,Yes
14.8000001907349,523.200012207031,6.29999995231628,6.5,9.0,1,3561.71811818125,202.731345,Wheat,SDB,CT,OI,Yes
13.9499998092651,506.200012207031,5.20099997520447,5.92999982833862,14.5243902206421,1,3489.8169673825,180.737835,Wheat,SDB,CT,OI,Yes
15.1666669845581,544.400024414062,6.31999969482422,6.65000009536743,10.1999998092651,1,3698.95088703625,216.773085,Wheat,SDB,CT,OI,Yes
14.7333335876465,538.600036621094,6.28499984741211,6.57499980926514,9.44999980926514,1,3623.24518946875,204.396615,Wheat,SDB,CT,OI,Yes
13.1000003814697,567.200012207031,4.99799996614456,7.8769998550415,14.3800001144409,1,3259.4258464225,201.658515,Wheat,SDB,CT,OI,Yes
14.8000001907349,523.200012207031,6.80599987506866,6.49499988555908,13.1099996566772,1,3610.410440155,211.439085,Wheat,SDB,CT,OI,Yes
